customer_id,age,card_tier,tenure_months,income_annual,credit_limit,current_utilization,utilization_3m_change,avg_monthly_spend,annual_spend,spend_3m_vs_12m,days_since_last_txn,transaction_count_monthly,late_payment_count_12m,interest_paid_12m,support_tickets_12m,complaint_tickets_12m,app_session_frequency_monthly,competitor_offer_received,interchange_revenue_annual,annual_fee,reward_cost_annual,servicing_cost_annual,annual_net_margin,churn_prob_true,churn_label
CC-10011,68,Black,78,406356,100000,0.2484,0.0979,12484,149808,1.4358,27,150,0,0.0,0,0,9,0,3745.2,495,4494.24,93.28,-347.3199999999997,0.0575,0
CC-10012,27,Platinum,4,156614,50043,0.1072,-0.1812,2697,32364,1.2625,8,39,0,0.0,2,1,17,0,728.19,295,712.01,93.35,217.83000000000004,0.0807,0
CC-10013,25,Standard,104,42147,6534,0.0798,0.1331,262,3144,1.3914,8,6,0,0.0,1,0,20,0,55.02,0,31.44,52.25,-28.669999999999995,0.0258,0
CC-10014,31,Standard,7,39678,6178,0.096,0.183,298,3576,0.9664,8,5,0,0.0,0,0,7,0,62.58,0,35.76,75.48,-48.66000000000001,0.0684,0
CC-10015,35,Standard,64,25000,4165,0.0492,-0.02,103,1236,0.5734,8,4,0,0.0,3,1,7,0,21.63,0,12.36,92.11,-82.84,0.2349,0
CC-10016,23,Standard,71,34562,5196,0.0892,-0.0109,233,2796,1.0881,27,7,1,93.29,3,0,11,0,48.93,0,27.96,83.5,30.75999999999999,0.1329,0
CC-10017,25,Gold,54,87158,21871,0.1177,-0.1351,1294,15528,0.4409,8,23,0,0.0,1,2,8,0,310.56,95,232.92,97.55,75.09000000000003,0.5547,1
CC-10018,43,Standard,88,42963,7025,0.0595,-0.1014,210,2520,0.8491,27,11,0,0.0,2,0,13,0,44.1,0,25.2,91.77,-72.87,0.1249,0
CC-10019,57,Standard,7,52013,7797,0.108,-0.0813,423,5076,1.0073,8,6,0,0.0,2,1,9,0,88.83,0,50.76,123.63,-85.55999999999999,0.1338,0
CC-10020,29,Gold,61,80851,21089,0.0712,0.1964,755,9060,1.6632,8,8,0,0.0,2,1,13,0,181.2,95,135.9,107.89,32.40999999999997,0.0456,0
CC-10021,35,Standard,70,36831,6403,0.0876,-0.0308,282,3384,1.0456,8,3,0,0.0,2,0,10,0,59.22,0,33.84,82.32,-56.94,0.0546,0
CC-10022,23,Standard,11,48840,7037,0.0648,-0.2183,229,2748,0.9919,27,6,0,0.0,2,0,9,1,48.09,0,27.48,123.88,-103.26999999999998,0.2173,0
CC-10023,49,Standard,95,73184,10473,0.0899,0.0183,473,5676,0.9311,8,10,0,0.0,3,0,7,0,99.33,0,56.76,132.25,-89.67999999999999,0.0673,0
CC-10024,26,Gold,24,78256,15678,0.147,0.1039,1158,13896,0.5474,8,18,1,463.89,4,1,9,1,277.92,95,208.44,113.96,514.41,0.5876,1
CC-10025,37,Platinum,29,144861,53001,0.0567,-0.0238,1510,18120,0.9757,8,20,0,0.0,1,1,17,1,407.7,295,398.64,67.43,236.63000000000005,0.2235,0
CC-10026,46,Standard,12,54527,6640,0.1238,0.2004,413,4956,0.9809,8,8,0,0.0,0,0,13,0,86.73,0,49.56,65.15,-27.980000000000004,0.0596,0
CC-10027,41,Gold,82,72853,18243,0.0854,0.0966,783,9396,0.6594,8,17,0,0.0,3,1,8,1,187.92,95,140.94,112.51,29.46999999999997,0.437,0
CC-10028,28,Gold,108,112046,31420,0.0756,-0.1774,1193,14316,0.594,8,17,0,0.0,2,0,12,0,286.32,95,214.74,99.72,66.85999999999996,0.1358,1
CC-10029,41,Standard,108,27235,4166,0.0965,-0.1027,202,2424,0.8055,27,2,0,0.0,6,0,14,0,42.42,0,24.24,138.05,-119.87000000000002,0.1286,0
CC-10030,31,Gold,63,76335,17325,0.0879,0.0139,765,9180,0.9695,119,12,0,0.0,2,0,14,1,183.6,95,137.7,68.28,72.62000000000003,0.8619,1
CC-10031,58,Standard,53,41498,6937,0.041,-0.2699,143,1716,0.8127,8,9,0,0.0,5,0,13,1,30.03,0,17.16,142.49,-129.62,0.145,0
CC-10032,28,Standard,12,46700,6359,0.1361,0.0305,435,5220,0.6347,8,7,1,174.2,1,0,18,0,91.35,0,52.2,86.38,126.96999999999997,0.1295,0
CC-10033,62,Black,8,141996,69854,0.1118,-0.2842,3925,47100,1.0368,8,51,0,0.0,0,0,6,0,1177.5,495,1413.0,92.48,167.01999999999998,0.0626,0
CC-10034,44,Black,64,374691,100000,0.1047,0.1335,5262,63144,1.1117,8,81,3,2107.44,0,1,15,0,1578.6,495,1894.32,67.62,2219.1,0.2685,0
CC-10035,55,Platinum,115,154497,46936,0.0897,0.1161,2116,25392,0.9864,8,29,0,0.0,2,2,10,1,571.32,295,558.62,74.38,233.32000000000005,0.4148,1
CC-10036,34,Standard,7,57631,10045,0.0967,0.0557,488,5856,0.7811,8,7,0,0.0,1,0,15,0,102.48,0,58.56,68.44,-24.519999999999996,0.0776,1
CC-10037,34,Standard,72,63146,8337,0.1487,-0.1214,623,7476,1.1285,27,13,0,0.0,1,2,6,0,130.83,0,74.76,53.12,2.950000000000017,0.368,1
CC-10038,30,Gold,65,69263,20706,0.0966,0.0055,1005,12060,0.8928,8,14,1,402.61,3,1,21,0,241.2,95,180.9,80.92,476.98999999999995,0.1718,0
CC-10039,32,Standard,58,25000,3010,0.154,-0.097,233,2796,0.5933,8,8,0,0.0,0,0,13,0,48.93,0,27.96,63.68,-42.71,0.1018,0
CC-10040,58,Standard,61,57896,7862,0.0643,-0.1746,254,3048,1.2609,119,8,2,101.75,1,1,13,1,53.34,0,30.48,89.72,34.89,0.9542,1
CC-10041,64,Gold,65,78914,17359,0.1279,-0.0708,1116,13392,1.0561,119,16,0,0.0,2,0,17,1,267.84,95,200.88,122.08,39.879999999999995,0.8363,1
CC-10042,66,Standard,113,32251,3897,0.1511,0.0847,296,3552,0.9142,8,11,1,118.52,3,0,7,1,62.16,0,35.52,118.01,27.150000000000006,0.1874,0
CC-10043,54,Platinum,91,160170,61270,0.0684,-0.0134,2106,25272,0.4787,8,34,0,0.0,2,0,15,1,568.62,295,555.98,75.86,231.77999999999997,0.2765,0
CC-10044,61,Standard,61,72715,11751,0.0733,0.1976,433,5196,0.7265,8,10,1,173.38,2,0,13,0,90.93,0,51.96,119.43,92.91999999999999,0.1199,1
CC-10045,30,Gold,53,82685,23088,0.0683,0.0949,793,9516,1.5556,8,10,0,0.0,3,0,12,1,190.32,95,142.74,132.8,9.779999999999973,0.0501,0
CC-10046,37,Standard,52,55700,7541,0.1132,0.0788,429,5148,0.4975,119,11,0,0.0,1,0,13,1,90.09,0,51.48,74.46,-35.849999999999994,0.9319,1
CC-10047,37,Gold,6,64015,15647,0.0619,-0.2613,487,5844,0.8746,27,12,1,194.95,1,0,13,0,116.88,95,87.66,81.35,237.82,0.1796,0
CC-10048,23,Gold,106,49156,13071,0.0391,-0.0628,257,3084,0.9451,27,5,0,0.0,0,0,6,0,61.68,95,46.26,64.96,45.46000000000001,0.1218,1
CC-10049,51,Standard,50,55281,8092,0.058,-0.1797,236,2832,1.0461,8,6,0,0.0,1,0,14,1,49.56,0,28.32,76.42,-55.18000000000001,0.1029,0
CC-10050,71,Black,34,318225,100000,0.124,-0.0475,6232,74784,0.5008,8,80,4,2495.92,0,0,13,0,1869.6,495,2243.52,54.79,2562.2100000000005,0.4851,1
CC-10051,21,Platinum,53,123700,45615,0.0633,-0.124,1451,17412,1.0023,8,15,0,0.0,0,0,11,1,391.77,295,383.06,94.21,209.5,0.1153,0
CC-10052,32,Black,54,399435,100000,0.2094,-0.0766,10522,126264,0.4442,8,133,0,0.0,2,0,9,0,3156.6,495,3787.92,119.49,-255.80999999999995,0.1816,0
CC-10053,59,Platinum,101,78242,30463,0.0465,0.1392,712,8544,0.9792,8,6,0,0.0,1,0,16,0,192.24,295,187.97,70.01,229.26,0.0526,0
CC-10054,24,Gold,76,58861,16014,0.1036,0.0513,834,10008,0.7543,8,14,0,0.0,1,0,8,1,200.16,95,150.12,86.85,58.18999999999997,0.168,1
CC-10055,62,Platinum,36,120999,44989,0.112,0.1311,2532,30384,0.6902,8,27,0,0.0,0,0,15,1,683.64,295,668.45,40.13,270.05999999999995,0.222,0
CC-10056,33,Standard,38,40990,5300,0.1442,-0.2601,384,4608,1.2004,8,4,0,0.0,3,0,8,1,80.64,0,46.08,124.72,-90.16000000000001,0.0926,0
CC-10057,54,Standard,72,61485,8366,0.1208,-0.0113,508,6096,0.8793,8,17,0,0.0,2,0,17,1,106.68,0,60.96,115.62,-69.9,0.1217,0
CC-10058,62,Standard,45,45553,6540,0.056,0.125,184,2208,1.0921,8,9,3,73.72,0,0,12,0,38.64,0,22.08,63.01,27.269999999999996,0.1487,0
CC-10059,41,Standard,112,42829,5858,0.0907,0.2059,267,3204,1.102,8,4,0,0.0,2,0,12,0,56.07,0,32.04,69.56,-45.529999999999994,0.0467,0
CC-10060,42,Standard,18,30712,4105,0.0625,-0.2522,129,1548,1.331,8,5,1,51.64,2,0,10,1,27.09,0,15.48,99.94,-36.69,0.1077,0
CC-10061,24,Standard,61,57224,9632,0.1171,-0.0727,567,6804,0.5875,8,15,0,0.0,0,0,8,0,119.07,0,68.04,38.29,12.73999999999998,0.112,1
CC-10062,38,Platinum,55,100217,37015,0.0673,0.1351,1252,15024,1.2257,119,19,0,0.0,3,1,8,0,338.04,295,330.53,128.96,173.54999999999995,0.8386,1
CC-10063,25,Standard,21,30660,4719,0.0932,-0.0488,221,2652,0.9549,8,6,0,0.0,2,0,11,0,46.41,0,26.52,100.1,-80.21,0.0638,0
CC-10064,39,Standard,100,40497,5408,0.1269,-0.1566,345,4140,0.8366,27,10,0,0.0,0,0,11,0,72.45,0,41.4,87.25,-56.2,0.1305,1
CC-10065,22,Gold,91,88467,25815,0.0968,-0.2525,1256,15072,0.6052,119,17,0,0.0,0,1,6,0,301.44,95,226.08,57.74,112.62,0.9526,1
CC-10066,32,Standard,97,36898,4851,0.1263,-0.1623,308,3696,1.132,8,9,0,0.0,3,1,10,0,64.68,0,36.96,95.01,-67.28999999999999,0.1032,0
CC-10067,37,Platinum,115,164745,64463,0.0896,-0.2733,2902,34824,0.6733,8,48,0,0.0,1,1,21,0,783.54,295,766.13,106.32,206.08999999999992,0.212,0
CC-10068,30,Standard,43,41816,7443,0.0719,-0.0112,269,3228,1.1053,8,5,0,0.0,2,0,11,1,56.49,0,32.28,119.05,-94.83999999999997,0.1003,0
CC-10069,54,Black,83,353693,100000,0.1621,0.1144,8145,97740,1.5283,8,107,0,0.0,2,0,8,0,2443.5,495,2932.2,68.96,-62.659999999999854,0.0267,0
CC-10070,26,Platinum,49,157678,66067,0.0423,-0.2091,1405,16860,1.244,8,22,0,0.0,2,1,11,1,379.35,295,370.92,116.8,186.63,0.172,1
CC-10071,28,Standard,96,65154,10363,0.1154,0.0187,601,7212,1.3674,27,12,0,0.0,1,1,12,1,126.21,0,72.12,105.68,-51.59000000000002,0.2382,1
CC-10072,71,Standard,105,40024,5325,0.1039,0.1068,278,3336,0.7343,8,5,0,0.0,3,0,12,0,58.38,0,33.36,107.19,-82.17000000000002,0.0815,0
CC-10073,31,Platinum,56,169538,52308,0.0522,-0.0204,1373,16476,1.1788,119,16,0,0.0,3,1,11,0,370.71,295,362.47,133.56,169.68,0.8405,1
CC-10074,32,Gold,57,47030,10932,0.1214,-0.2616,667,8004,0.6067,27,8,0,0.0,1,0,17,0,160.08,95,120.06,76.84,58.18000000000001,0.2204,1
CC-10075,29,Gold,97,146447,29393,0.098,0.0379,1448,17376,0.88,8,20,1,579.8,1,0,16,1,347.52,95,260.64,53.43,708.25,0.171,0
CC-10076,22,Platinum,21,167788,62993,0.1088,-0.0282,3444,41328,1.4724,8,45,1,1379.52,0,0,9,0,929.88,295,909.22,67.78,1627.4,0.0442,0
CC-10077,28,Standard,64,41666,5671,0.1319,-0.0435,376,4512,0.7676,8,5,0,0.0,0,1,14,0,78.96,0,45.12,91.16,-57.32000000000001,0.1636,0
CC-10078,31,Standard,101,42084,7108,0.1033,-0.102,369,4428,1.2834,8,8,1,147.79,4,0,14,1,77.49,0,44.28,127.05,53.94999999999999,0.1009,0
CC-10079,56,Standard,95,42220,5976,0.0526,-0.007,158,1896,1.2547,8,3,0,0.0,2,0,9,1,33.18,0,18.96,73.34,-59.12000000000001,0.0804,1
CC-10080,30,Platinum,61,204401,70966,0.0642,0.0565,2290,27480,1.2724,27,33,0,0.0,2,1,14,1,618.3,295,604.56,91.38,217.36,0.2647,0
CC-10081,41,Gold,67,104094,30871,0.0922,0.3386,1431,17172,0.5699,8,26,0,0.0,2,0,14,0,343.44,95,257.58,71.37,109.49000000000001,0.1397,0
CC-10082,40,Standard,70,40012,5382,0.1379,-0.0032,373,4476,1.1076,8,6,1,149.39,1,2,19,0,78.33,0,44.76,85.12,97.83999999999997,0.263,0
CC-10083,68,Standard,30,31063,5071,0.0777,0.2067,198,2376,0.903,27,5,0,0.0,2,0,17,1,41.58,0,23.76,102.48,-84.66000000000001,0.2117,0
CC-10084,28,Standard,20,58456,9663,0.0754,0.0337,366,4392,1.2765,8,6,2,146.65,0,1,16,1,76.86,0,43.92,74.85,104.74,0.2892,1
CC-10085,56,Standard,28,54433,7253,0.0669,-0.0349,244,2928,0.4535,8,7,0,0.0,1,0,14,0,51.24,0,29.28,53.17,-31.21,0.1247,0
CC-10086,49,Gold,106,100010,25012,0.1168,0.0023,1468,17616,1.0603,8,18,2,588.03,3,0,6,0,352.32,95,264.24,130.89,640.2199999999999,0.1166,0
CC-10087,62,Gold,21,83220,19558,0.0603,-0.2033,593,7116,1.0179,8,10,0,0.0,3,0,12,0,142.32,95,106.74,135.01,-4.430000000000007,0.057,1
CC-10088,32,Platinum,57,129513,50259,0.0531,0.0259,1342,16104,0.353,27,11,0,0.0,0,0,10,1,362.34,295,354.29,52.21,250.83999999999992,0.5082,1
CC-10089,34,Gold,59,120810,31682,0.0881,-0.3188,1402,16824,0.6844,119,23,1,561.82,1,0,10,0,336.48,95,252.36,96.98,643.96,0.9146,1
CC-10090,68,Standard,8,65005,9657,0.0661,-0.1494,321,3852,0.401,8,3,1,128.48,1,0,13,1,67.41,0,38.52,79.0,78.36999999999998,0.3366,0
CC-10091,70,Gold,3,98602,27405,0.103,-0.0035,1418,17016,0.7321,8,17,0,0.0,1,0,11,1,340.32,95,255.24,81.87,98.20999999999998,0.1731,0
CC-10092,41,Platinum,10,173944,54430,0.0487,0.1591,1333,15996,1.1148,8,19,3,533.55,2,0,11,0,359.91,295,351.91,79.57,756.98,0.1503,0
CC-10093,42,Gold,99,90017,24787,0.0365,0.1946,455,5460,1.0086,27,8,0,0.0,0,0,10,1,109.2,95,81.9,88.68,33.619999999999976,0.1976,0
CC-10094,41,Platinum,53,92050,36926,0.0747,-0.0555,1387,16644,1.0008,8,15,0,0.0,1,0,12,1,374.49,295,366.17,107.5,195.82,0.1135,0
CC-10095,64,Gold,109,64180,18474,0.0683,0.0034,634,7608,0.6381,8,14,1,253.97,0,0,11,0,152.16,95,114.12,74.28,312.73,0.1822,0
CC-10096,70,Gold,87,109356,30441,0.0474,0.1277,725,8700,1.2861,8,18,1,290.43,1,0,17,0,174.0,95,130.5,59.1,369.83000000000004,0.0479,0
CC-10097,50,Standard,90,59329,8571,0.0912,-0.2194,393,4716,0.9444,119,7,0,0.0,2,0,17,0,82.53,0,47.16,97.07,-61.69999999999999,0.7386,1
CC-10098,59,Standard,27,56858,10172,0.0675,0.0407,345,4140,0.9601,8,6,1,138.2,0,0,14,0,72.45,0,41.4,53.15,116.09999999999998,0.0864,0
CC-10099,40,Standard,49,48893,6980,0.1291,-0.1442,453,5436,1.2321,8,11,0,0.0,1,0,10,1,95.13,0,54.36,77.05,-36.28,0.0845,0
CC-10100,44,Standard,57,57277,9067,0.0426,-0.0458,194,2328,0.6526,27,4,0,0.0,2,0,7,1,40.74,0,23.28,105.47,-88.00999999999999,0.3237,1
CC-10101,43,Gold,66,83764,18102,0.1359,-0.0889,1236,14832,1.0186,8,17,3,495.17,2,0,22,0,296.64,95,222.48,69.24,595.0899999999999,0.1365,0
CC-10102,27,Standard,109,51990,9297,0.0833,0.0453,389,4668,1.077,8,15,0,0.0,2,0,17,0,81.69,0,46.68,77.2,-42.19,0.0442,0
CC-10103,29,Gold,85,80650,21807,0.0479,0.0625,525,6300,0.7863,8,10,2,210.25,1,1,5,1,126.0,95,94.5,94.99,241.76,0.5128,0
CC-10104,21,Platinum,95,103012,39708,0.0423,0.1137,844,10128,1.1457,119,18,2,338.09,2,0,14,1,227.88,295,222.82,67.29,570.86,0.9107,1
CC-10105,46,Standard,119,54726,6783,0.1109,0.0322,378,4536,1.0931,8,4,0,0.0,2,0,13,1,79.38,0,45.36,101.11,-67.09,0.093,0
CC-10106,58,Standard,12,59345,9839,0.0587,0.0057,290,3480,0.9196,8,3,0,0.0,1,2,11,0,60.9,0,34.8,66.04,-39.940000000000005,0.2847,1
CC-10107,58,Platinum,58,226588,88020,0.0616,0.2581,2723,32676,0.9104,8,32,0,0.0,1,1,6,0,735.21,295,718.87,104.15,207.19000000000005,0.1551,0
CC-10108,64,Standard,14,47970,7689,0.0616,-0.2487,238,2856,1.1071,27,3,0,0.0,3,0,10,0,49.98,0,28.56,129.99,-108.57000000000002,0.0964,0
CC-10109,42,Standard,35,33212,4567,0.1107,0.2343,254,3048,1.1865,8,6,0,0.0,1,2,10,0,53.34,0,30.48,105.16,-82.29999999999998,0.2063,0
CC-10110,64,Standard,73,41305,6170,0.0935,-0.0635,290,3480,0.9689,8,5,1,116.12,1,1,7,0,60.9,0,34.8,55.63,86.59,0.1945,1
CC-10111,30,Standard,19,43471,5504,0.0604,0.0656,167,2004,1.2861,8,4,0,0.0,3,2,15,1,35.07,0,20.04,139.68,-124.65,0.3008,0
CC-10112,26,Platinum,63,145197,50241,0.0885,-0.0688,2235,26820,1.1476,8,29,0,0.0,1,0,10,1,603.45,295,590.04,58.61,249.80000000000007,0.0946,0
CC-10113,37,Platinum,12,156480,49155,0.1227,-0.1254,3030,36360,0.4135,27,39,0,0.0,2,2,14,0,818.1,295,799.92,117.21,195.9699999999999,0.6992,1
CC-10114,71,Gold,33,92713,21779,0.0492,0.0527,538,6456,0.5285,8,10,0,0.0,1,0,13,1,129.12,95,96.84,72.56,54.72,0.2783,0
CC-10115,70,Platinum,62,167197,50621,0.137,0.1363,3485,41820,1.3047,27,45,0,0.0,2,0,12,0,940.95,295,920.04,122.31,193.60000000000014,0.067,0
CC-10116,58,Platinum,72,146909,45866,0.1031,0.051,2376,28512,0.876,27,40,0,0.0,3,0,22,0,641.52,295,627.26,80.06,229.20000000000005,0.1037,0
CC-10117,44,Standard,19,25000,3114,0.154,-0.1013,241,2892,0.9993,119,7,0,0.0,2,0,15,1,50.61,0,28.92,106.35,-84.65999999999998,0.8582,1
CC-10118,71,Platinum,52,147949,60479,0.0473,0.5217,1438,17256,1.2918,8,22,0,0.0,1,0,14,0,388.26,295,379.63,109.74,193.89,0.0352,0
CC-10119,30,Gold,39,86843,21974,0.1175,0.1598,1297,15564,0.9481,8,18,0,0.0,0,0,14,0,311.28,95,233.46,76.63,96.18999999999994,0.0601,0
CC-10120,28,Platinum,84,159259,53438,0.1018,0.12,2733,32796,0.9612,8,38,1,1094.98,2,0,10,0,737.91,295,721.51,107.39,1298.9899999999998,0.0888,0
CC-10121,41,Platinum,64,127348,45196,0.0898,-0.0729,2039,24468,0.6894,119,39,0,0.0,0,0,10,1,550.53,295,538.3,75.03,232.20000000000005,0.9375,1
CC-10122,26,Standard,92,47514,7492,0.0853,-0.1138,321,3852,1.061,27,15,0,0.0,2,0,15,0,67.41,0,38.52,123.76,-94.87,0.0887,0
CC-10123,41,Standard,115,51257,8986,0.0394,-0.062,178,2136,1.126,8,3,0,0.0,1,0,13,0,37.38,0,21.36,93.06,-77.03999999999999,0.044,0
CC-10124,59,Standard,82,43199,5647,0.1459,0.1422,414,4968,0.7766,119,8,0,0.0,1,0,8,0,86.94,0,49.68,79.82,-42.56,0.8167,1
CC-10125,44,Standard,74,52603,7245,0.1101,-0.1686,401,4812,0.6734,27,9,0,0.0,1,0,8,0,84.21,0,48.12,64.87,-28.780000000000015,0.1745,0
CC-10126,53,Platinum,90,142454,59347,0.0424,-0.1802,1264,15168,1.7379,119,17,3,506.49,2,0,12,1,341.28,295,333.7,111.62,697.45,0.8605,1
CC-10127,38,Platinum,79,145483,48295,0.0468,0.0609,1136,13632,0.9221,8,21,0,0.0,0,0,14,0,306.72,295,299.9,44.66,257.1600000000001,0.0606,0
CC-10128,48,Standard,31,25000,3033,0.0656,0.0279,100,1200,0.7449,27,5,0,0.0,1,1,12,0,21.0,0,12.0,53.73,-44.72999999999999,0.2968,0
CC-10129,52,Gold,34,60692,13034,0.1027,-0.1355,673,8076,1.162,27,8,0,0.0,0,0,10,0,161.52,95,121.14,80.79,54.589999999999975,0.0877,0
CC-10130,32,Standard,90,32161,3910,0.1211,-0.1837,238,2856,0.9348,8,8,1,95.31,2,1,13,0,49.98,0,28.56,87.13,29.599999999999994,0.1823,0
CC-10131,68,Standard,82,47433,8509,0.0739,0.1957,316,3792,0.6243,119,13,0,0.0,2,0,9,0,66.36,0,37.92,77.73,-49.290000000000006,0.8478,1
CC-10132,62,Standard,13,59306,8109,0.078,0.0336,318,3816,1.0949,8,9,0,0.0,0,0,16,0,66.78,0,38.16,81.02,-52.39999999999999,0.0473,0
CC-10133,47,Standard,98,43667,7659,0.0779,-0.2245,300,3600,0.6941,8,9,0,0.0,0,0,6,0,63.0,0,36.0,87.06,-60.06,0.0969,0
CC-10134,30,Black,8,339380,100000,0.143,-0.214,7185,86220,1.4229,27,99,3,2878.36,1,0,11,0,2155.5,495,2586.6,56.33,2885.9300000000007,0.1739,0
CC-10135,66,Standard,37,52292,8157,0.0442,-0.0742,181,2172,1.0984,8,6,4,72.57,3,0,12,0,38.01,0,21.72,104.9,-16.04000000000002,0.2062,0
CC-10136,62,Gold,35,87972,17886,0.0765,0.0899,688,8256,0.8669,27,13,0,0.0,1,1,12,0,165.12,95,123.84,51.43,84.85,0.2571,0
CC-10137,52,Gold,20,97197,20232,0.0528,0.0693,537,6444,0.9828,8,8,1,215.02,1,2,17,0,128.88,95,96.66,99.66,242.57999999999998,0.321,0
CC-10138,62,Standard,39,47766,7112,0.1245,0.1498,445,5340,1.221,8,9,0,0.0,3,1,13,0,93.45,0,53.4,80.49,-40.43999999999998,0.0898,0
CC-10139,46,Black,15,270040,100000,0.1371,-0.2436,6892,82704,1.0058,8,86,0,0.0,1,0,13,0,2067.6,495,2481.12,73.43,8.050000000000182,0.0572,0
CC-10140,45,Black,76,307375,100000,0.1906,0.0136,9580,114960,1.5866,8,129,0,0.0,1,3,15,0,2874.0,495,3448.8,104.16,-183.96000000000004,0.2189,0
CC-10141,31,Standard,103,61274,8966,0.0726,0.1939,327,3924,1.2908,27,6,0,0.0,2,0,15,0,68.67,0,39.24,100.0,-70.57000000000001,0.0626,0
CC-10142,43,Gold,92,95045,27886,0.0935,0.1799,1310,15720,1.0963,8,21,0,0.0,0,0,11,0,314.4,95,235.8,83.17,90.42999999999995,0.0488,0
CC-10143,54,Standard,112,47452,7216,0.096,0.0338,348,4176,0.6689,8,4,2,139.44,1,0,11,0,73.08,0,41.76,58.1,112.65999999999998,0.1819,0
CC-10144,60,Standard,83,35128,5677,0.0782,0.3322,223,2676,0.9059,8,2,0,0.0,4,1,11,1,46.83,0,26.76,101.88,-81.80999999999999,0.2576,0
CC-10145,43,Standard,66,60928,10588,0.0551,0.0714,293,3516,1.0937,27,8,0,0.0,0,0,16,0,61.53,0,35.16,56.26,-29.889999999999986,0.0847,0
CC-10146,49,Gold,3,55100,11829,0.1147,0.1364,682,8184,0.7031,8,13,1,273.1,1,0,14,0,163.68,95,122.76,90.39,318.63,0.127,0
CC-10147,51,Gold,65,48746,10869,0.1252,-0.0133,684,8208,1.338,27,14,0,0.0,1,1,9,0,164.16,95,123.12,59.8,76.23999999999995,0.1443,0
CC-10148,27,Standard,91,49178,6218,0.0771,-0.1371,241,2892,0.6578,8,2,0,0.0,1,0,7,0,50.61,0,28.92,53.93,-32.239999999999995,0.1008,0
CC-10149,60,Standard,36,35091,4504,0.0698,-0.1513,158,1896,0.7588,8,4,0,0.0,1,1,16,0,33.18,0,18.96,108.55,-94.32999999999998,0.1633,0
CC-10150,53,Platinum,105,178118,62655,0.1015,0.0072,3196,38352,0.7813,27,40,0,0.0,5,1,11,0,862.92,295,843.74,127.45,186.73000000000002,0.2764,0
CC-10151,41,Standard,12,26058,3629,0.1404,-0.0517,256,3072,1.1731,8,8,0,0.0,2,3,18,0,53.76,0,30.72,102.46,-79.42000000000002,0.3505,0
CC-10152,22,Standard,86,55820,8115,0.114,-0.2853,465,5580,0.7085,8,10,0,0.0,2,0,21,1,97.65,0,55.8,104.57,-62.72,0.1424,0
CC-10153,38,Gold,9,102445,30554,0.0523,-0.1739,803,9636,0.41,27,10,0,0.0,0,1,11,0,192.72,95,144.54,37.32,105.86000000000004,0.5154,1
CC-10154,67,Black,58,288261,100000,0.1099,-0.0678,5524,66288,1.2764,8,72,3,2212.11,3,0,8,0,1657.2,495,1988.64,113.95,2261.7199999999993,0.1223,0
CC-10155,53,Standard,82,25000,3811,0.0768,0.0891,147,1764,0.8167,27,2,0,0.0,2,0,14,0,30.87,0,17.64,77.02,-63.78999999999999,0.129,0
