customer_id,card_tier,LIMIT_BAL,avg_monthly_spend,predicted_churn_prob,rfm_segment,baseline_ltv,recommended_offer,offer_cost,expected_net_roi,roi_density
CC-43,Standard,10000.0,3793.5,0.18208212,Dormant / Lost,1423.95,No Offer (Low Risk),0.0,0.0,0.0
CC-44,Gold,140000.0,64189.0,0.067809306,At-Risk High Value,87041.3,No Offer (Low Risk),0.0,0.0,0.0
CC-45,Standard,40000.0,24530.83,0.22987144,Dormant / Lost,12347.11,Fee Waiver,50.0,10173.39,203.4678
CC-46,Platinum,210000.0,0.0,0.26645344,Need Attention,668.57,No Offer (Budget Exceeded),295.0,304.16,1.0311
CC-47,Standard,20000.0,13221.33,0.27252483,Dormant / Lost,7655.01,No Offer (Budget Exceeded),50.0,6890.28,137.8056
CC-48,Platinum,150000.0,1639.5,0.10466726,Need Attention,5849.25,No Offer (Low Risk),0.0,0.0,0.0
CC-49,Black,380000.0,19135.83,0.03780519,Loyal High Spenders,49127.76,No Offer (Low Risk),0.0,0.0,0.0
CC-50,Standard,20000.0,19301.67,0.20267026,Need Attention,12123.19,No Offer (Budget Exceeded),120.0,7578.0,63.15
CC-51,Standard,70000.0,38168.67,0.5481381,At-Risk High Value,11823.07,Fee Waiver,50.0,14383.65,287.6729
CC-52,Gold,100000.0,44197.5,0.07150584,Loyal High Spenders,80333.42,No Offer (Low Risk),0.0,0.0,0.0
CC-53,Black,310000.0,7354.17,0.056734692,Need Attention,23920.8,No Offer (Low Risk),0.0,0.0,0.0
CC-54,Platinum,180000.0,43191.83,0.2784117,At-Risk High Value,30507.14,No Offer (Budget Exceeded),295.0,27666.36,93.7843
CC-55,Platinum,150000.0,29458.5,0.64832336,Dormant / Lost,14963.68,No Offer (Budget Exceeded),295.0,18994.06,64.3866
CC-56,Black,500000.0,1398.0,0.12914643,Need Attention,4166.59,No Offer (Low Risk),0.0,0.0,0.0
CC-57,Platinum,180000.0,9347.17,0.058919437,Need Attention,25388.02,No Offer (Low Risk),0.0,0.0,0.0
CC-58,Platinum,180000.0,158727.0,0.11428659,Loyal High Spenders,215545.31,No Offer (Low Risk),0.0,0.0,0.0
CC-59,Platinum,200000.0,1124.5,0.4226246,Need Attention,1015.28,No Offer (Budget Exceeded),295.0,829.98,2.8135
CC-60,Black,400000.0,380690.0,0.14844136,Loyal High Spenders,475562.52,No Offer (Low Risk),0.0,0.0,0.0
CC-61,Black,500000.0,18283.17,0.060118895,Dormant / Lost,42168.54,No Offer (Low Risk),0.0,0.0,0.0
CC-62,Standard,70000.0,40707.0,0.19260935,At-Risk High Value,47554.36,No Offer (Low Risk),0.0,0.0,0.0
CC-63,Standard,50000.0,26279.0,0.8165382,Dormant / Lost,5581.51,No Offer (Budget Exceeded),50.0,5333.66,106.6732
CC-64,Standard,50000.0,9647.33,0.18591267,Need Attention,18918.43,No Offer (Low Risk),0.0,0.0,0.0
CC-65,Gold,130000.0,408.67,0.24058776,Need Attention,204.12,No Offer (Budget Exceeded),95.0,78.29,0.8241
CC-66,Platinum,200000.0,78272.67,0.3382656,Loyal High Spenders,79182.9,Fee Waiver,295.0,79424.39,269.2352
CC-67,Standard,10000.0,3808.67,0.6468009,Dormant / Lost,511.14,No Offer (Budget Exceeded),50.0,608.42,12.1684
CC-68,Platinum,210000.0,1431.5,0.22361395,Dormant / Lost,1093.37,No Offer (Budget Exceeded),120.0,611.27,5.0939
CC-69,Gold,130000.0,4631.83,0.23021917,Dormant / Lost,856.73,No Offer (Budget Exceeded),95.0,614.97,6.4734
CC-70,Standard,20000.0,14721.0,0.17494617,Dormant / Lost,13505.01,No Offer (Low Risk),0.0,0.0,0.0
CC-71,Gold,80000.0,390.0,0.22460778,Dormant / Lost,641.02,No Offer (Budget Exceeded),95.0,428.96,4.5154
CC-72,Black,320000.0,60358.67,0.7911373,At-Risk High Value,20262.87,No Offer (Budget Exceeded),495.0,20174.96,40.7575
CC-73,Platinum,200000.0,4518.17,0.19928373,Dormant / Lost,7571.54,No Offer (Low Risk),0.0,0.0,0.0
CC-74,Platinum,290000.0,919.0,0.25244883,Dormant / Lost,873.06,No Offer (Budget Exceeded),120.0,500.47,4.1706
CC-75,Black,340000.0,23699.83,0.047670152,Need Attention,22272.48,No Offer (Low Risk),0.0,0.0,0.0
CC-76,Standard,20000.0,16888.0,0.3328891,Loyal High Spenders,7086.99,No Offer (Budget Exceeded),50.0,7032.63,140.6526
CC-77,Standard,50000.0,24234.33,0.11931076,Dormant / Lost,38248.15,No Offer (Low Risk),0.0,0.0,0.0
CC-78,Black,300000.0,291.0,0.22643074,Need Attention,1470.2,No Offer (Budget Exceeded),495.0,712.16,1.4387
CC-79,Standard,30000.0,24864.33,0.1822229,Loyal High Spenders,20570.3,No Offer (Low Risk),0.0,0.0,0.0
CC-80,Platinum,240000.0,0.0,0.40801287,Dormant / Lost,442.9,No Offer (Budget Exceeded),120.0,266.24,2.2187
CC-81,Black,470000.0,102470.5,0.033554357,Loyal High Spenders,318123.8,No Offer (Low Risk),0.0,0.0,0.0
CC-82,Black,360000.0,49150.5,0.03828013,Loyal High Spenders,76331.0,No Offer (Low Risk),0.0,0.0,0.0
CC-83,Standard,60000.0,23927.67,0.100180216,Loyal High Spenders,27004.62,No Offer (Low Risk),0.0,0.0,0.0
CC-84,Black,400000.0,116825.33,0.1155031,At-Risk High Value,176944.28,No Offer (Low Risk),0.0,0.0,0.0
CC-85,Standard,50000.0,29583.17,0.13820972,Need Attention,40474.0,No Offer (Low Risk),0.0,0.0,0.0
CC-86,Platinum,160000.0,111168.83,0.087007694,Loyal High Spenders,179970.94,No Offer (Low Risk),0.0,0.0,0.0
CC-87,Black,360000.0,585.0,0.3126777,Need Attention,1372.69,No Offer (Budget Exceeded),120.0,956.16,7.968
CC-88,Platinum,160000.0,5270.5,0.09971626,Need Attention,7048.35,No Offer (Low Risk),0.0,0.0,0.0
CC-89,Gold,130000.0,37755.67,0.06812442,Loyal High Spenders,100800.59,No Offer (Low Risk),0.0,0.0,0.0
CC-90,Standard,20000.0,10218.17,0.7284578,Dormant / Lost,2101.87,No Offer (Budget Exceeded),50.0,2449.2,48.984
CC-91,Platinum,200000.0,143694.5,0.73744076,At-Risk High Value,45292.65,Fee Waiver,295.0,52310.96,177.3253
CC-92,Platinum,280000.0,2560.0,0.13521214,Need Attention,7785.14,No Offer (Low Risk),0.0,0.0,0.0
CC-93,Gold,100000.0,925.83,0.109053314,Dormant / Lost,480.98,No Offer (Low Risk),0.0,0.0,0.0
CC-94,Platinum,160000.0,693.67,0.2069221,Need Attention,1001.65,No Offer (Budget Exceeded),295.0,486.35,1.6486
CC-95,Standard,60000.0,32973.17,0.13971412,Need Attention,38194.83,No Offer (Low Risk),0.0,0.0,0.0
CC-96,Gold,90000.0,59119.33,0.15597205,At-Risk High Value,72910.38,No Offer (Low Risk),0.0,0.0,0.0
CC-97,Black,360000.0,9743.33,0.077932514,Need Attention,9071.98,No Offer (Low Risk),0.0,0.0,0.0
CC-98,Platinum,150000.0,79901.83,0.061735354,At-Risk High Value,141700.37,No Offer (Low Risk),0.0,0.0,0.0
CC-99,Standard,50000.0,13965.67,0.13562572,Need Attention,15866.56,No Offer (Low Risk),0.0,0.0,0.0
CC-100,Standard,20000.0,15536.17,0.2002117,Dormant / Lost,12161.58,No Offer (Budget Exceeded),120.0,7551.49,62.9291
CC-101,Gold,140000.0,2279.83,0.12206288,Need Attention,818.64,No Offer (Low Risk),0.0,0.0,0.0
CC-102,Black,380000.0,22164.33,0.078912176,Dormant / Lost,17353.32,No Offer (Low Risk),0.0,0.0,0.0
CC-103,Black,480000.0,460169.17,0.13732474,Loyal High Spenders,554501.06,No Offer (Low Risk),0.0,0.0,0.0
CC-104,Standard,50000.0,34227.67,0.16979878,At-Risk High Value,33442.81,No Offer (Low Risk),0.0,0.0,0.0
CC-105,Standard,60000.0,57006.33,0.66452134,At-Risk High Value,15386.03,Fee Waiver,50.0,19932.49,398.6497
CC-106,Standard,70000.0,5351.5,0.14926574,Need Attention,4472.22,No Offer (Low Risk),0.0,0.0,0.0
CC-107,Gold,80000.0,2977.5,0.12178324,Dormant / Lost,5962.44,No Offer (Low Risk),0.0,0.0,0.0
CC-108,Black,350000.0,1831.17,0.1632412,Need Attention,2525.21,No Offer (Low Risk),0.0,0.0,0.0
CC-109,Gold,130000.0,113489.67,0.23004325,Loyal High Spenders,114270.78,Fee Waiver,95.0,94560.19,995.3703
CC-110,Black,360000.0,0.0,0.36448982,Dormant / Lost,914.98,No Offer (Budget Exceeded),120.0,644.29,5.3691
CC-111,Black,330000.0,106596.67,0.09956313,Loyal High Spenders,161713.84,No Offer (Low Risk),0.0,0.0,0.0
CC-112,Standard,50000.0,15523.17,0.2867394,Need Attention,7187.79,No Offer (Budget Exceeded),50.0,6636.32,132.7264
CC-113,Platinum,280000.0,142501.33,0.62731516,At-Risk High Value,51379.27,Fee Waiver,295.0,65264.29,221.2349
CC-114,Gold,100000.0,55864.33,0.06781944,At-Risk High Value,76154.82,No Offer (Low Risk),0.0,0.0,0.0
CC-115,Standard,50000.0,19851.67,0.14805253,Dormant / Lost,15997.62,No Offer (Low Risk),0.0,0.0,0.0
CC-116,Standard,30000.0,19610.0,0.5302648,Dormant / Lost,5956.13,No Offer (Budget Exceeded),50.0,7138.25,142.765
CC-117,Platinum,240000.0,1242.67,0.15182771,Need Attention,1417.0,No Offer (Low Risk),0.0,0.0,0.0
CC-118,Gold,80000.0,16503.67,0.6848259,Dormant / Lost,4511.8,No Offer (Budget Exceeded),95.0,5817.38,61.2356
CC-119,Black,400000.0,11971.33,0.045031767,Dormant / Lost,37348.78,No Offer (Low Risk),0.0,0.0,0.0
CC-120,Platinum,240000.0,34950.5,0.058115486,Loyal High Spenders,78655.36,No Offer (Low Risk),0.0,0.0,0.0
CC-121,Standard,50000.0,48374.17,0.7346291,At-Risk High Value,11456.74,Fee Waiver,50.0,13353.91,267.0781
CC-122,Black,450000.0,0.0,0.44400623,Dormant / Lost,781.24,No Offer (Budget Exceeded),120.0,582.27,4.8522
CC-123,Gold,110000.0,0.0,0.44816208,Dormant / Lost,45.61,No Offer (Low Risk),0.0,0.0,0.0
CC-124,Black,310000.0,271089.67,0.75529426,At-Risk High Value,102715.29,Fee Waiver,495.0,113550.24,229.3944
CC-125,Standard,20000.0,18683.33,0.15845856,Loyal High Spenders,15286.86,No Offer (Low Risk),0.0,0.0,0.0
CC-126,Standard,20000.0,0.0,0.42583728,Dormant / Lost,-133.12,No Offer (Low Risk),0.0,0.0,0.0
CC-127,Platinum,200000.0,102947.5,0.06894514,Loyal High Spenders,173660.34,No Offer (Low Risk),0.0,0.0,0.0
CC-128,Platinum,180000.0,111480.33,0.2022894,Loyal High Spenders,131494.09,Fee Waiver,295.0,100933.21,342.1465
CC-129,Standard,50000.0,5091.33,0.26310208,Need Attention,1941.16,No Offer (Budget Exceeded),916.44,257.18,0.2806
CC-130,Standard,60000.0,44020.83,0.46493074,At-Risk High Value,21426.66,Fee Waiver,50.0,24596.4,491.9279
CC-131,Standard,30000.0,5467.17,0.09903509,Dormant / Lost,472.38,No Offer (Low Risk),0.0,0.0,0.0
CC-132,Platinum,240000.0,1879.83,0.25226882,Dormant / Lost,1168.03,No Offer (Budget Exceeded),295.0,722.17,2.448
CC-133,Black,420000.0,224985.17,0.08400285,Loyal High Spenders,397101.57,No Offer (Low Risk),0.0,0.0,0.0
CC-134,Black,330000.0,228219.5,0.118112095,Loyal High Spenders,315268.53,No Offer (Low Risk),0.0,0.0,0.0
CC-135,Standard,30000.0,20710.33,0.14124152,Loyal High Spenders,23597.39,No Offer (Low Risk),0.0,0.0,0.0
CC-136,Platinum,240000.0,12951.33,0.34131715,Need Attention,7416.48,No Offer (Budget Exceeded),295.0,7202.42,24.415
CC-137,Platinum,150000.0,23471.5,0.0502018,Need Attention,36600.96,No Offer (Low Risk),0.0,0.0,0.0
CC-138,Platinum,210000.0,7209.33,0.116572805,Need Attention,10078.92,No Offer (Low Risk),0.0,0.0,0.0
CC-139,Standard,50000.0,1155.33,0.26972717,Need Attention,323.64,No Offer (Low Risk),0.0,0.0,0.0
CC-140,Standard,50000.0,34721.67,0.1451373,Need Attention,41346.83,No Offer (Low Risk),0.0,0.0,0.0
CC-141,Platinum,240000.0,0.0,0.44280463,Dormant / Lost,414.51,No Offer (Budget Exceeded),120.0,252.26,2.1022
CC-142,Platinum,180000.0,638.0,0.2020318,Dormant / Lost,1001.29,No Offer (Budget Exceeded),295.0,475.25,1.611
CC-143,Standard,50000.0,16581.17,0.29045987,Dormant / Lost,5610.92,No Offer (Budget Exceeded),50.0,5203.05,104.061
CC-144,Platinum,170000.0,11331.33,0.04357095,Need Attention,8809.72,No Offer (Low Risk),0.0,0.0,0.0
CC-145,Standard,20000.0,4418.33,0.15167004,Need Attention,1184.85,No Offer (Low Risk),0.0,0.0,0.0
CC-146,Standard,50000.0,8030.67,0.32081524,Dormant / Lost,2544.87,No Offer (Budget Exceeded),50.0,2449.85,48.997
CC-147,Platinum,170000.0,17502.0,0.12578349,Loyal High Spenders,23416.95,No Offer (Low Risk),0.0,0.0,0.0
CC-148,Platinum,200000.0,132378.83,0.2399611,At-Risk High Value,140081.59,Fee Waiver,295.0,118459.36,401.5571
CC-149,Gold,80000.0,10325.0,0.4502345,Dormant / Lost,4061.43,No Offer (Budget Exceeded),95.0,4519.4,47.5726
CC-150,Platinum,260000.0,3873.0,0.16581698,Dormant / Lost,2157.76,No Offer (Low Risk),0.0,0.0,0.0
CC-151,Gold,140000.0,68553.83,0.189093,At-Risk High Value,68254.82,No Offer (Low Risk),0.0,0.0,0.0
CC-152,Gold,80000.0,42754.67,0.054068983,Loyal High Spenders,66525.27,No Offer (Low Risk),0.0,0.0,0.0
CC-153,Black,350000.0,790.67,0.22256617,Dormant / Lost,1611.7,No Offer (Budget Exceeded),120.0,955.33,7.9611
CC-154,Platinum,280000.0,161936.83,0.07862277,Loyal High Spenders,293341.94,No Offer (Low Risk),0.0,0.0,0.0
CC-155,Standard,30000.0,11678.67,0.16636896,Dormant / Lost,7219.53,No Offer (Low Risk),0.0,0.0,0.0
CC-156,Gold,140000.0,37163.33,0.054270886,Loyal High Spenders,42678.18,No Offer (Low Risk),0.0,0.0,0.0
CC-157,Platinum,200000.0,95901.17,0.0506413,Loyal High Spenders,184887.61,No Offer (Low Risk),0.0,0.0,0.0
CC-158,Platinum,200000.0,169693.33,0.0892309,Loyal High Spenders,268479.41,No Offer (Low Risk),0.0,0.0,0.0
CC-159,Platinum,210000.0,134241.83,0.59612423,At-Risk High Value,47476.7,Fee Waiver,295.0,59308.74,201.0466
CC-160,Standard,50000.0,13314.0,0.6225504,Dormant / Lost,3630.64,No Offer (Budget Exceeded),50.0,4571.58,91.4316
CC-161,Standard,30000.0,27099.33,0.7080568,Dormant / Lost,6246.15,No Offer (Budget Exceeded),50.0,7800.05,156.001
CC-162,Standard,50000.0,566.0,0.28370747,Dormant / Lost,-7.35,No Offer (Low Risk),0.0,0.0,0.0
CC-163,Platinum,290000.0,606.17,0.15086724,Dormant / Lost,2088.83,No Offer (Low Risk),0.0,0.0,0.0
CC-164,Platinum,250000.0,153157.0,0.17722298,Loyal High Spenders,142230.74,No Offer (Low Risk),0.0,0.0,0.0
CC-165,Standard,60000.0,25050.67,0.14329563,Loyal High Spenders,18531.04,No Offer (Low Risk),0.0,0.0,0.0
CC-166,Gold,110000.0,89889.83,0.08335402,Loyal High Spenders,129441.34,No Offer (Low Risk),0.0,0.0,0.0
CC-167,Black,370000.0,10511.67,0.04607538,Need Attention,11681.64,No Offer (Low Risk),0.0,0.0,0.0
CC-168,Gold,100000.0,51722.5,0.21246842,Loyal High Spenders,68907.28,Fee Waiver,95.0,54482.82,573.5033
CC-169,Gold,90000.0,78825.17,0.22608238,At-Risk High Value,54384.88,Fee Waiver,95.0,44521.21,468.6443
CC-170,Standard,50000.0,28559.83,0.14764152,Need Attention,23638.97,No Offer (Low Risk),0.0,0.0,0.0
CC-171,Platinum,270000.0,30034.83,0.039565254,Need Attention,69735.77,No Offer (Low Risk),0.0,0.0,0.0
CC-172,Black,300000.0,1963.33,0.11431394,Need Attention,3175.72,No Offer (Low Risk),0.0,0.0,0.0
CC-173,Standard,50000.0,8964.5,0.14268227,Need Attention,7254.88,No Offer (Low Risk),0.0,0.0,0.0
CC-174,Standard,50000.0,0.0,0.46914148,Dormant / Lost,-122.99,No Offer (Low Risk),0.0,0.0,0.0
CC-175,Black,360000.0,12.83,0.29906863,Dormant / Lost,1068.84,No Offer (Budget Exceeded),120.0,701.78,5.8482
CC-176,Gold,130000.0,68429.17,0.70427626,At-Risk High Value,19474.51,Fee Waiver,95.0,24641.44,259.3836
CC-177,Gold,80000.0,2604.0,0.13581242,Need Attention,5573.75,No Offer (Low Risk),0.0,0.0,0.0
CC-178,Standard,50000.0,36747.17,0.36993137,At-Risk High Value,20826.91,Fee Waiver,50.0,21773.39,435.4677
CC-179,Standard,20000.0,13985.67,0.16114737,Loyal High Spenders,12443.43,No Offer (Low Risk),0.0,0.0,0.0
CC-180,Gold,80000.0,53926.5,0.25465703,Loyal High Spenders,48720.28,Fee Waiver,95.0,42545.13,447.8434
CC-181,Platinum,240000.0,19710.17,0.1193602,Dormant / Lost,19136.56,No Offer (Low Risk),0.0,0.0,0.0
CC-182,Gold,80000.0,21581.17,0.041891452,Loyal High Spenders,72374.41,No Offer (Low Risk),0.0,0.0,0.0
CC-183,Black,500000.0,96540.5,0.023000654,At-Risk High Value,180339.37,No Offer (Low Risk),0.0,0.0,0.0
CC-184,Standard,60000.0,37073.83,0.22278157,Loyal High Spenders,35649.15,Apr Cut,120.0,23677.01,197.3084
CC-185,Standard,20000.0,8484.0,0.1598233,Need Attention,8159.7,No Offer (Low Risk),0.0,0.0,0.0
CC-186,Gold,100000.0,15391.83,0.42522106,Dormant / Lost,6692.25,No Offer (Budget Exceeded),95.0,7338.65,77.2489
CC-187,Black,360000.0,27257.67,0.065188296,Dormant / Lost,22373.98,No Offer (Low Risk),0.0,0.0,0.0
CC-188,Platinum,200000.0,197097.0,0.7523949,At-Risk High Value,63072.8,Fee Waiver,295.0,70239.59,238.1003
CC-189,Gold,130000.0,9623.67,0.15076463,Dormant / Lost,2402.33,No Offer (Low Risk),0.0,0.0,0.0
CC-190,Standard,20000.0,20965.33,0.4364086,Dormant / Lost,8138.05,Fee Waiver,50.0,9083.72,181.6744
CC-191,Black,310000.0,58956.67,0.028774206,At-Risk High Value,142112.0,No Offer (Low Risk),0.0,0.0,0.0
CC-192,Standard,60000.0,21669.67,0.75398517,Dormant / Lost,4792.55,No Offer (Budget Exceeded),50.0,5288.44,105.7688
CC-193,Platinum,180000.0,7642.33,0.11756637,Need Attention,13714.11,No Offer (Low Risk),0.0,0.0,0.0
CC-194,Platinum,180000.0,11373.17,0.25123695,Need Attention,11072.84,No Offer (Budget Exceeded),295.0,9326.73,31.616
CC-195,Standard,50000.0,14147.33,0.17456563,Need Attention,32693.9,No Offer (Low Risk),0.0,0.0,0.0
CC-196,Standard,50000.0,38126.5,0.6353293,At-Risk High Value,10177.06,Fee Waiver,50.0,12987.26,259.7451
CC-197,Platinum,150000.0,269.33,0.14019969,Need Attention,1120.9,No Offer (Low Risk),0.0,0.0,0.0
CC-198,Standard,20000.0,17251.83,0.1269315,Need Attention,16775.59,No Offer (Low Risk),0.0,0.0,0.0
CC-199,Black,500000.0,1076.17,0.16798325,Dormant / Lost,2142.45,No Offer (Low Risk),0.0,0.0,0.0
CC-200,Standard,30000.0,19642.33,0.4861138,Dormant / Lost,9726.9,Fee Waiver,50.0,11327.25,226.545
CC-201,Platinum,180000.0,125.0,0.13658121,Need Attention,1658.33,No Offer (Low Risk),0.0,0.0,0.0
CC-202,Gold,140000.0,21812.0,0.14891078,Need Attention,24888.28,No Offer (Low Risk),0.0,0.0,0.0
CC-203,Gold,140000.0,10706.0,0.047362342,Need Attention,21064.0,No Offer (Low Risk),0.0,0.0,0.0
CC-204,Gold,120000.0,114815.67,0.08215178,At-Risk High Value,144115.09,No Offer (Low Risk),0.0,0.0,0.0
CC-205,Black,360000.0,200463.17,0.105095714,At-Risk High Value,318191.83,No Offer (Low Risk),0.0,0.0,0.0
CC-206,Standard,20000.0,16490.17,0.20328043,Dormant / Lost,1600.47,No Offer (Low Risk),0.0,0.0,0.0
CC-207,Gold,100000.0,505.5,0.28562883,Dormant / Lost,195.34,No Offer (Budget Exceeded),95.0,86.36,0.9091
CC-208,Platinum,210000.0,1609.5,0.13594435,Need Attention,4007.34,No Offer (Low Risk),0.0,0.0,0.0
CC-209,Gold,80000.0,65234.5,0.19736339,At-Risk High Value,62722.55,No Offer (Low Risk),0.0,0.0,0.0
CC-210,Black,330000.0,3243.67,0.08531494,Dormant / Lost,13124.14,No Offer (Low Risk),0.0,0.0,0.0
CC-211,Platinum,220000.0,69996.5,0.06294982,Need Attention,156813.24,No Offer (Low Risk),0.0,0.0,0.0
CC-212,Platinum,210000.0,397.33,0.27446046,Dormant / Lost,696.36,No Offer (Budget Exceeded),120.0,394.94,3.2912
CC-213,Standard,40000.0,35990.83,0.15256664,Loyal High Spenders,31341.43,No Offer (Low Risk),0.0,0.0,0.0
CC-214,Standard,30000.0,17267.17,0.18624683,Dormant / Lost,19390.54,No Offer (Low Risk),0.0,0.0,0.0
CC-215,Black,470000.0,333803.0,0.73374444,At-Risk High Value,112509.25,Fee Waiver,495.0,131439.58,265.5345
CC-216,Standard,30000.0,585.0,0.39208594,Need Attention,36.07,No Offer (Low Risk),0.0,0.0,0.0
CC-217,Platinum,240000.0,0.0,0.33504143,Dormant / Lost,517.19,No Offer (Budget Exceeded),120.0,297.51,2.4792
CC-218,Gold,80000.0,78468.17,0.6272379,At-Risk High Value,26131.05,Fee Waiver,95.0,33246.6,349.9642
CC-219,Gold,110000.0,75641.17,0.06997718,Loyal High Spenders,122262.59,No Offer (Low Risk),0.0,0.0,0.0
CC-220,Black,310000.0,1015.33,0.15537958,Need Attention,3224.69,No Offer (Low Risk),0.0,0.0,0.0
CC-221,Black,360000.0,114260.83,0.6214641,At-Risk High Value,45774.11,No Offer (Budget Exceeded),495.0,57740.61,116.6477
CC-222,Black,330000.0,334236.33,0.17720138,At-Risk High Value,363944.58,No Offer (Low Risk),0.0,0.0,0.0
CC-223,Black,300000.0,238552.5,0.11467049,Loyal High Spenders,379953.02,No Offer (Low Risk),0.0,0.0,0.0
